item_identifier,item_fat_content,item_mrp,item_outlet_sales,item_visibility,item_weight,outlet_identifier,outlet_location_type,outlet_size,outlet_type,source,item_type_combined,outlet_years
FDO38,Low Fat,77.2986,623.1888,0.073135768,17.25,OUT049,Tier 3,Medium,Supermarket Type2,train,Food,13
NCS42,Non-Edible,90.5146,729.7168,0.069809115,8.6,OUT017,Tier 2,Small,Supermarket Type1,train,Non-Consumable,15
FDE11,Regular,186.0924,7033.5112,0.23653561,13.425999999999998,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDP27,Low Fat,190.953,2842.03388,0.20914265,13.303,OUT046,Tier 3,Small,Supermarket Type3,train,Food,13
FDZ16,Regular,192.4478,4843.695,0.160760054,16.85,OUT017,Tier 2,Small,Supermarket Type1,train,Food,15
DRF27,Low Fat,152.234,3828.35,0.049754975,9.959999999999999,OUT019,Tier 2,Small,Supermarket Type1,train,Drinks,15
FDA40,Regular,87.4856,1054.6272,0.099252438,16.0,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
FDS45,Regular,107.3622,3281.7282,0.051643608,12.345,OUT019,Tier 3,Small,Supermarket Type1,train,Food,35
NCN18,Non-Edible,113.3544,3467.4864,0.125222705,8.895,OUT045,Tier 3,Small,Supermarket Type2,train,Non-Consumable,13
FDD56,Regular,177.1054,4416.38456,0.173703549,12.538,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
NCF07,Non-Edible,101.0016,2125.2336,0.031867464,13.006,OUT027,Tier 3,Medium,Supermarket Type3,train,Non-Consumable,37
FDD14,Low Fat,185.4266,3462.02684,0.297312685,14.954000000000002,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDZ48,Low Fat,112.4544,2348.9424,0.07607772,17.75,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
NCH06,Non-Edible,247.846,3448.844,0.076709639,12.3,OUT045,Tier 2,Small,Supermarket Type1,train,Non-Consumable,20
FDX47,Regular,155.8288,1099.9016,0.034658144,6.55,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
FDF38,Regular,41.7138,414.1276,0.026465376,11.398,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDL28,Regular,231.7668,6614.190359999999,0.063302674,14.88,OUT045,Tier 3,Small,Supermarket Type3,train,Food,18
FDN40,Low Fat,155.3998,2549.74768,0.086945823,5.88,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
FDZ31,Regular,193.0504,2492.7552,0.0,15.35,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
FDV32,Low Fat,62.751,759.012,0.089069748,7.785,OUT049,Tier 3,Medium,Supermarket Type2,train,Food,13
NCI55,Non-Edible,123.3414,1974.6296399999999,0.01270511,12.818999999999999,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDQ27,Regular,105.199,1737.8711600000001,0.077480627,14.969999999999999,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDW14,Regular,87.7198,1430.8042,0.038427677,8.3,OUT046,Tier 3,Small,Supermarket Type2,train,Food,13
NCB43,Non-Edible,188.3898,7296.5022,0.100114941,13.425999999999998,OUT045,Tier 3,Small,Supermarket Type3,train,Non-Consumable,20
FDV03,Low Fat,156.2314,2180.89448,0.058419856,9.511,OUT049,Tier 3,Small,Supermarket Type3,train,Food,15
FDX04,Regular,49.9376,958.752,0.07278643,13.45,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDU52,Low Fat,157.263,2503.408,0.064030636,7.56,OUT045,Tier 3,Small,Supermarket Type2,train,Food,13
FDC39,Low Fat,205.7296,4570.0512,0.0,7.405,OUT017,Tier 2,Small,Supermarket Type1,train,Food,15
FDY12,Regular,49.8008,809.6128,0.14061104,9.8,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDO46,Regular,187.3872,2647.2208,0.014270394,9.6,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
FDT23,Regular,79.8986,1120.67456,0.075035902,13.830000000000002,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDC21,Regular,108.4254,217.0508,0.075215349,12.345,OUT019,Tier 1,Small,Grocery Store,train,Food,37
FDD57,Low Fat,96.0094,95.2094,0.037492325,18.1,OUT046,Tier 3,Small,Supermarket Type1,train,Food,24
FDM36,Regular,172.1422,5518.1504,0.058719726,9.443999999999999,OUT035,Tier 3,Small,Supermarket Type3,train,Food,18
FDR24,Regular,89.383,539.298,0.063207198,17.35,OUT045,Tier 3,Small,Supermarket Type1,train,Food,15
FDI38,Regular,208.5638,7247.233,0.024482433,13.35,OUT049,Tier 3,Small,Supermarket Type1,train,Food,15
FDF58,Low Fat,64.951,584.0397599999999,0.00963535,11.1,OUT046,Tier 3,Small,Supermarket Type3,train,Food,13
FDA07,Regular,124.3072,2619.12404,0.051794958,12.882,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDI26,Low Fat,180.0344,892.172,0.061082177,11.256,OUT019,Tier 1,Small,Grocery Store,train,Food,37
FDF47,Low Fat,225.3746,5000.9569599999995,0.098170402,14.013,OUT049,Tier 3,Small,Supermarket Type3,train,Food,15
NCL30,Non-Edible,128.7336,2173.1712,0.049016517,18.1,OUT049,Tier 2,Small,Supermarket Type1,train,Non-Consumable,18
FDU55,Low Fat,260.6278,4425.5726,0.035984104,16.2,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDO51,Regular,43.4112,809.6128,0.041947547,15.1,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,35
FDK27,Low Fat,123.0756,1925.36044,0.015664229,10.175,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDX59,Low Fat,33.0558,984.7182,0.0514111,16.630000000000003,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDP01,Regular,150.5682,762.341,0.105994654,20.75,OUT010,Tier 3,Small,Grocery Store,train,Food,24
FDL38,Regular,90.9172,89.2172,0.02579577,15.509,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
FDR46,Low Fat,148.076,3368.948,0.244102315,9.959999999999999,OUT046,Tier 3,Small,Supermarket Type3,train,Food,25
FDR11,Regular,161.1578,3033.78428,0.238579765,10.5,OUT049,Tier 3,Small,Supermarket Type1,train,Food,18
FDR04,Low Fat,98.0068,874.8612,0.03777249,7.075,OUT018,Tier 3,Small,Supermarket Type2,train,Food,13
NCT42,Non-Edible,151.0392,1357.16672,0.043574485,12.928999999999998,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDW08,Low Fat,106.028,1810.976,0.147663025,13.575999999999999,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDX50,Low Fat,108.7228,1215.7508,0.07461309,20.1,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
FDR47,Low Fat,196.5794,585.2382,0.0,17.85,OUT010,Tier 3,Small,Grocery Store,train,Food,24
FDC40,Regular,79.5986,934.7832,0.065431917,16.0,OUT017,Tier 3,Small,Supermarket Type1,train,Food,15
DRK59,Low Fat,235.8616,3046.7008,0.07543556,8.895,OUT035,Tier 2,Small,Supermarket Type1,train,Drinks,18
FDM40,Low Fat,143.2154,850.8924,0.159936948,10.195,OUT046,Tier 3,Small,Supermarket Type1,train,Food,25
FDT04,Low Fat,39.3822,314.2576,0.10764721,17.25,OUT017,Tier 2,Small,Supermarket Type1,train,Food,15
NCA41,Non-Edible,192.1162,3848.324,0.032580547,16.75,OUT035,Tier 2,Small,Supermarket Type1,train,Non-Consumable,18
FDI52,Low Fat,122.9072,1906.5848799999999,0.10527024,10.175,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDR15,Regular,156.6314,2398.74424,0.058545606,10.169,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
NCH42,Non-Edible,231.601,5318.80988,0.063972131,15.41,OUT045,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDA32,Low Fat,217.4192,3745.7907999999998,0.052691046,11.846,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
FDW20,Low Fat,124.973,369.519,0.040421193,12.151,OUT027,Tier 3,Small,Supermarket Type3,train,Food,24
FDW52,Regular,166.4526,2758.4093999999996,0.037734782,13.373000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDV14,Low Fat,89.4856,1256.49776,0.044749173,19.85,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
NCY54,Non-Edible,174.0422,1881.01816,0.178699961,13.731,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,15
FDM02,Regular,86.0198,87.2198,0.12341737,12.5,OUT010,Tier 3,Small,Grocery Store,train,Food,24
NCM41,Non-Edible,92.612,559.272,0.035801238,16.5,OUT018,Tier 3,Medium,Supermarket Type2,train,Non-Consumable,13
DRJ01,Low Fat,162.7236,2474.7786,0.192540665,9.856,OUT046,Tier 3,Small,Supermarket Type3,train,Drinks,13
FDX48,Regular,154.8656,2541.49176,0.066336811,9.187999999999999,OUT046,Tier 3,Small,Supermarket Type3,train,Food,13
FDR57,Regular,155.5288,1414.1592,0.023492524,5.675,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
FDZ44,Low Fat,115.6808,703.0848,0.038789271,8.185,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
FDB11,Low Fat,226.8404,6301.1312,0.060942632,16.0,OUT049,Tier 3,Small,Supermarket Type1,train,Food,18
FDQ33,Low Fat,151.6708,2977.32444,0.15266209,10.863000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,15
FDN46,Regular,100.5332,1127.8652,0.144856342,7.21,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
FDV56,Regular,107.7596,323.5788,0.013584408,12.345,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,35
FDZ32,Regular,103.1964,736.3748,0.038288087,7.785,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
NCO54,Non-Edible,57.2614,2486.763,0.01430324,13.45,OUT045,Tier 3,Small,Supermarket Type3,train,Non-Consumable,20
DRJ59,Low Fat,39.1164,308.9312,0.019356132,11.65,OUT013,Tier 3,High,Supermarket Type1,train,Drinks,35
FDN03,Regular,250.9408,3353.6346000000003,0.026420581,11.709,OUT046,Tier 3,Small,Supermarket Type3,train,Food,15
FDK50,Low Fat,163.4894,2222.57356,0.049660306,11.017,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
NCL42,Non-Edible,247.0144,5079.65452,0.040599963,11.897,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,15
FDY35,Regular,47.2402,505.3422,0.016060186,17.6,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDF34,Regular,200.0084,2182.4924,0.014076503,9.3,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
FDA45,Low Fat,178.237,5469.547,0.155350299,9.648000000000001,OUT035,Tier 3,Small,Supermarket Type3,train,Food,18
FDI56,Low Fat,90.3146,1733.0774,0.093765794,7.325,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
FDC28,Low Fat,110.5254,1773.8243599999998,0.09203683,13.289000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDL22,Low Fat,91.4488,543.2928,0.036463975,16.85,OUT046,Tier 2,Small,Supermarket Type1,train,Food,20
FDD11,Low Fat,254.904,3795.06,0.030789914,10.725999999999999,OUT045,Tier 3,Small,Supermarket Type3,train,Food,13
FDR60,Low Fat,78.6328,231.6984,0.131152799,14.3,OUT046,Tier 2,Small,Supermarket Type1,train,Food,15
FDI05,Regular,76.8354,456.87196000000006,0.222132498,13.45,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDU56,Low Fat,185.8266,8114.7704,0.044377096,13.425999999999998,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,35
FDR01,Regular,200.5742,2580.37448,0.093883945,10.134000000000002,OUT046,Tier 3,Small,Supermarket Type3,train,Food,13
DRJ25,Low Fat,50.3692,1034.6532,0.151419185,14.6,OUT017,Tier 2,Small,Supermarket Type1,train,Drinks,15
DRH01,Low Fat,174.8738,347.5476,0.171417316,12.022000000000002,OUT046,Tier 1,Small,Supermarket Type1,train,Drinks,25
FDN57,Low Fat,140.2154,1701.7848,0.054344186,18.25,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDN56,Regular,144.2786,288.9572,0.107036943,5.46,OUT035,Tier 3,Small,Supermarket Type1,train,Food,18
FDW31,Regular,201.0742,2189.8162,0.043333912,11.35,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
FDM22,Regular,54.764,1331.6,0.04192285,14.0,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDZ01,Regular,102.699,3095.97,0.01516265,13.006,OUT027,Tier 3,Small,Supermarket Type3,train,Food,24
FDR28,Regular,165.021,4078.025,0.026001976,13.85,OUT046,Tier 3,Small,Supermarket Type2,train,Food,13
FDA02,Regular,143.9786,866.8716,0.029843736,14.0,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
FDR33,Low Fat,111.157,1563.2984000000001,0.04690397,11.181000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
NCD54,Non-Edible,143.4786,2311.6576,0.029003459,21.1,OUT035,Tier 2,Small,Supermarket Type1,train,Non-Consumable,18
FDM45,Regular,119.7756,2059.9852,0.088121336,8.655,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDF20,Low Fat,198.4768,1379.5376,0.033287541,12.85,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDW45,Low Fat,147.7418,1618.5598,0.038822077,9.960000000000003,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDM13,Low Fat,131.3626,262.3252,0.063122753,6.425,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDN27,Low Fat,117.2808,1523.3504,0.039624006,20.85,OUT049,Tier 3,Medium,Supermarket Type2,train,Food,13
FDT26,Regular,121.044,3475.476,0.06823032,12.831,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDG46,Regular,113.5518,5351.0346,0.032882271,11.059000000000001,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,35
NCG42,Non-Edible,127.831,1298.31,0.0,19.2,OUT045,Tier 2,Small,Supermarket Type1,train,Non-Consumable,20
FDX43,Low Fat,165.05,2330.3,0.085274988,5.655,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDW10,Low Fat,176.137,3586.5314399999997,0.123745045,15.428999999999998,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDY13,Low Fat,78.067,1124.0035599999999,0.052749199,12.84,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
FDH22,Low Fat,128.1678,1017.3424,0.136275173,6.405,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
DRH23,Low Fat,54.0614,1160.4894,0.171281641,14.65,OUT017,Tier 2,Small,Supermarket Type1,train,Drinks,15
FDM60,Regular,41.5138,690.4346,0.048339408,10.8,OUT046,Tier 3,Small,Supermarket Type2,train,Food,13
FDH05,Regular,233.5984,1853.5872,0.091098018,14.35,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDS43,Low Fat,188.224,5033.448,0.040744057,13.425999999999998,OUT049,Tier 3,Small,Supermarket Type3,train,Food,15
NCX18,Non-Edible,195.011,1964.11,0.00879232,14.15,OUT035,Tier 2,Small,Supermarket Type1,train,Non-Consumable,18
NCB07,Non-Edible,197.611,3142.576,0.077628053,19.2,OUT049,Tier 1,Medium,Supermarket Type1,train,Non-Consumable,23
FDZ33,Low Fat,148.7076,3547.3824,0.188038372,9.959999999999999,OUT035,Tier 3,Small,Supermarket Type2,train,Food,13
FDD52,Regular,110.157,1867.569,0.184041545,14.208000000000002,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,13
FDW47,Low Fat,123.8414,2125.36676,0.081197035,13.072,OUT049,Tier 3,Small,Supermarket Type1,train,Food,15
DRF25,Low Fat,34.919,476.047,0.038925251,9.0,OUT046,Tier 1,Small,Supermarket Type1,train,Drinks,25
FDB28,Low Fat,199.4426,3561.0978800000003,0.156307983,6.615,OUT046,Tier 3,Small,Supermarket Type2,train,Food,13
NCN41,Non-Edible,125.073,1108.557,0.052165855,17.0,OUT013,Tier 3,High,Supermarket Type1,train,Non-Consumable,35
FDV20,Regular,128.0678,2797.6916,0.104704537,12.861,OUT027,Tier 3,Small,Supermarket Type3,train,Food,37
FDI48,Regular,53.2666,550.48344,0.056033565,11.85,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
FDN44,Low Fat,157.892,1917.504,0.022924552,13.15,OUT017,Tier 2,Small,Supermarket Type1,train,Food,15
FDP04,Low Fat,65.2168,958.752,0.013840784,15.35,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
NCE30,Non-Edible,214.0902,2942.3033600000003,0.173574402,11.834999999999999,OUT049,Tier 3,Small,Supermarket Type2,train,Non-Consumable,13
NCA29,Non-Edible,172.8106,4403.33488,0.047757473,14.34,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
NCD18,Non-Edible,231.3668,8062.838,0.073080167,15.919,OUT046,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDH41,Low Fat,216.2534,2211.25496,0.143591586,12.224999999999998,OUT046,Tier 3,Small,Supermarket Type3,train,Food,13
FDB15,Low Fat,263.7568,7646.0472,0.228993134,10.895,OUT049,Tier 3,Small,Supermarket Type1,train,Food,23
FDW43,Regular,226.8036,3415.554,0.022460102,20.1,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
FDU48,Low Fat,133.3284,3233.65744,0.0926587,12.397,OUT046,Tier 3,Small,Supermarket Type3,train,Food,13
NCD42,Non-Edible,39.7506,156.32984000000002,0.012709331,11.761,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDX21,Low Fat,109.8912,2074.6328,0.084554569,14.208000000000002,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDF39,Regular,263.791,5009.4792,0.019590769,14.256,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDT47,Regular,96.8068,1648.25448,0.02455854,15.399000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,20
FDU59,Low Fat,163.5552,1787.0072,0.096386227,5.78,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDE08,Low Fat,147.3734,296.9468,0.082551042,18.2,OUT018,Tier 3,Small,Supermarket Type2,train,Food,13
FDC60,Regular,88.3514,1416.8224,0.115119905,5.425,OUT017,Tier 2,Small,Supermarket Type1,train,Food,15
FDF14,Low Fat,152.734,2756.412,0.027212058,7.55,OUT049,Tier 2,Small,Supermarket Type1,train,Food,18
NCC06,Non-Edible,127.3336,2940.1728,0.027139013,19.0,OUT017,Tier 2,Small,Supermarket Type1,train,Non-Consumable,15
FDZ09,Low Fat,165.6868,3580.1397599999996,0.175545889,17.6,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
FDR22,Regular,112.9544,2024.16516,0.031069993,11.759,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
NCH43,Non-Edible,217.4192,3745.7907999999998,0.123557061,11.846,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
DRB13,Regular,191.153,3415.554,0.007084185,6.115,OUT017,Tier 2,Small,Supermarket Type1,train,Drinks,15
FDN02,Low Fat,208.5638,2691.8294,0.07376631,16.5,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDC57,Regular,194.282,2219.91036,0.095587976,12.629000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDY39,Regular,185.7608,3192.37784,0.08234117,13.784,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDS55,Low Fat,150.3734,2345.0807600000003,0.142107998,14.74,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
DRG27,Low Fat,42.0138,690.4346,0.105274111,8.895,OUT049,Tier 3,Medium,Supermarket Type2,train,Drinks,13
DRD60,Low Fat,181.1634,181.7634,0.065188619,10.828,OUT019,Tier 1,Small,Grocery Store,train,Drinks,37
FDW15,Regular,149.7734,3266.4148,0.055103174,9.959999999999999,OUT035,Tier 3,Small,Supermarket Type3,train,Food,18
NCK42,Non-Edible,217.6192,1725.7536,0.013120028,7.475,OUT046,Tier 1,Small,Supermarket Type1,train,Non-Consumable,25
DRK12,Low Fat,32.99,898.83,0.041878397,15.629999999999999,OUT035,Tier 3,Small,Supermarket Type3,train,Drinks,18
DRD13,Low Fat,62.6168,958.752,0.049357077,15.0,OUT017,Tier 2,Small,Supermarket Type1,train,Drinks,15
FDY31,Low Fat,146.6418,4414.254,0.043351896,9.959999999999999,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDS37,Low Fat,117.7492,2146.27288,0.05346916,7.655,OUT049,Tier 3,Small,Supermarket Type1,train,Food,15
FDC58,Low Fat,45.7428,773.79276,0.04217956,10.782,OUT045,Tier 3,Small,Supermarket Type3,train,Food,13
FDU20,Regular,122.1098,3374.2744,0.021353642,12.831,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
NCQ53,Non-Edible,237.159,3072.667,0.019012262,17.6,OUT017,Tier 2,Small,Supermarket Type1,train,Non-Consumable,15
NCR06,Non-Edible,42.8112,639.168,0.006759519,12.5,OUT013,Tier 3,High,Supermarket Type1,train,Non-Consumable,35
FDS13,Low Fat,266.8884,5238.248079999999,0.21799414,10.072,OUT046,Tier 3,Small,Supermarket Type2,train,Food,13
NCA54,Non-Edible,180.0318,3969.4996,0.061330521,16.5,OUT045,Tier 3,Small,Supermarket Type1,train,Non-Consumable,20
FDH04,Regular,92.4488,1019.8724399999999,0.019912606,11.573,OUT046,Tier 3,Small,Supermarket Type3,train,Food,13
FDP23,Low Fat,218.2166,3701.1822,0.035414528,12.173,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDH10,Low Fat,195.0478,1549.9824,0.049583899,21.0,OUT017,Tier 3,Small,Supermarket Type1,train,Food,15
FDK46,Low Fat,260.762,5437.45544,0.086145867,10.988999999999999,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDU16,Regular,82.1908,2432.8332,0.058365706,19.25,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
FDA48,Low Fat,222.6114,3629.2758000000003,0.115342009,12.41,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDA43,Low Fat,196.6794,3121.2704,0.065041581,10.895,OUT017,Tier 3,Small,Supermarket Type1,train,Food,15
FDD22,Low Fat,113.7544,1468.3553200000001,0.100055625,8.472999999999999,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
NCC55,Non-Edible,36.0848,372.848,0.064022881,10.695,OUT018,Tier 3,Medium,Supermarket Type2,train,Non-Consumable,13
FDW22,Regular,222.9114,5764.4964,0.03033748,9.695,OUT049,Tier 1,Medium,Supermarket Type1,train,Food,23
FDH14,Regular,141.1838,2247.7408,0.0467696,17.1,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDX27,Regular,94.9436,1323.6104,0.114294512,20.7,OUT049,Tier 1,Small,Supermarket Type1,train,Food,23
FDX38,Regular,49.6376,393.08832,0.084404264,13.081999999999999,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
FDD47,Regular,171.9448,3749.7856,0.142410775,7.6,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDY44,Regular,197.211,3731.809,0.024454052,14.15,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDO11,Regular,248.8092,3486.1288,0.030118338,15.309000000000001,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDP24,Low Fat,120.9756,3877.6192,0.083133128,12.831,OUT049,Tier 3,Medium,Supermarket Type3,train,Food,23
FDW48,Low Fat,81.0618,1450.1124,0.008589133,18.0,OUT017,Tier 2,Small,Supermarket Type1,train,Food,15
NCM30,Non-Edible,43.2796,784.3124,0.117825569,14.795000000000002,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDH24,Low Fat,156.5288,1571.288,0.021427082,20.7,OUT035,Tier 2,Small,Supermarket Type1,train,Food,18
NCQ06,Non-Edible,256.7014,6630.0364,0.073229342,10.725999999999999,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
DRI37,Low Fat,59.5904,703.0848,0.107765165,12.610000000000001,OUT049,Tier 3,Medium,Supermarket Type3,train,Drinks,23
FDU44,Regular,164.1552,974.7312,0.058516562,9.991000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,18
FDS44,Regular,241.7538,9133.4444,0.156286566,15.919,OUT049,Tier 3,Medium,Supermarket Type3,train,Food,23
FDJ09,Low Fat,47.2744,780.1844400000001,0.058725134,14.818000000000001,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
DRG25,Low Fat,188.424,3979.22028,0.019127291,11.692,OUT046,Tier 3,Small,Supermarket Type3,train,Drinks,13
FDS31,Regular,178.9318,3969.4996,0.044155597,13.1,OUT049,Tier 3,Medium,Supermarket Type1,train,Food,23
DRC27,Low Fat,245.1802,5650.6446,0.058091482,13.8,OUT035,Tier 2,Small,Supermarket Type1,train,Drinks,18
FDE22,Low Fat,159.692,958.752,0.051778173,7.184,OUT045,Tier 2,Small,Supermarket Type1,train,Food,20
FDX08,Low Fat,181.4318,3428.2042,0.022604051,12.85,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDJ41,Low Fat,261.6594,6018.1662,0.022976497,6.85,OUT018,Tier 3,Medium,Supermarket Type2,train,Food,13
FDI32,Low Fat,115.1834,345.5502,0.291865402,17.7,OUT010,Tier 3,Small,Grocery Store,train,Food,24
DRJ37,Low Fat,150.4024,2884.2456,0.061446997,10.8,OUT017,Tier 2,Small,Supermarket Type1,train,Drinks,15
FDN51,Regular,261.5936,6002.8528,0.021065311,17.85,OUT045,Tier 2,Small,Supermarket Type1,train,Food,15
NCT30,Non-Edible,48.8718,516.26132,0.140582485,17.0,OUT049,Tier 3,Small,Supermarket Type3,train,Non-Consumable,13
FDJ14,Regular,78.696,1757.712,0.050353695,10.3,OUT017,Tier 2,Small,Supermarket Type1,train,Food,15
FDY11,Regular,67.5142,593.2278,0.029535852,6.71,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
FDW56,Low Fat,192.2162,384.8324,0.118672537,7.68,OUT010,Tier 3,Small,Grocery Store,train,Food,24
FDZ14,Regular,123.1756,1925.36044,0.047857877,10.175,OUT046,Tier 3,Small,Supermarket Type3,train,Food,13
FDQ20,Low Fat,38.7138,284.2966,0.029760052,8.325,OUT013,Tier 3,High,Supermarket Type1,train,Food,35
NCG06,Non-Edible,257.6646,2061.3168,0.029445361,16.35,OUT046,Tier 1,Small,Supermarket Type1,train,Non-Consumable,25
FDS35,Low Fat,63.2826,1033.3216,0.110681931,10.223,OUT027,Tier 3,Medium,Supermarket Type3,train,Food,37
FDL04,Low Fat,104.9622,1587.933,0.112556507,19.0,OUT017,Tier 2,Small,Supermarket Type1,train,Food,15
DRM48,Low Fat,38.6848,1155.8288,0.113125627,15.2,OUT045,Tier 2,Small,Supermarket Type1,train,Drinks,20
FDF08,Regular,89.8856,966.7416,0.065207559,14.3,OUT046,Tier 1,Small,Supermarket Type1,train,Food,25
FDV19,Regular,162.2578,3265.2163600000003,0.06173052,12.34,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDU24,Regular,95.012,1195.7768,0.245407386,13.609000000000004,OUT049,Tier 3,Small,Supermarket Type3,train,Food,15
FDD26,Regular,186.5924,555.2772,0.1263349,13.425999999999998,OUT046,Tier 3,Small,Supermarket Type3,train,Food,18
FDJ12,Regular,209.5296,3623.9494,0.039261947,12.578,OUT049,Tier 3,Small,Supermarket Type3,train,Food,13
FDU49,Regular,88.254,1472.88276,0.030819397,19.5,OUT049,Tier 3,Small,Supermarket Type2,train,Food,13
